eha_ptid,fcdocket,hilarriid,nididfull,nidid,dam_name,longitude,latitude,state,huc,Pt_Own,OwType,Type,CH_MW,status,HILARRI_2021,EHA_FY2021,EHA_Annual_Capacity,EHA_Annual_CapacityFactor,EHA_Annual_Gross_Generation,ORNL_Retired_FY2020_revised,ORNL_US_Hydropower_DevelopmentPipeline_Data_FY2021,ORNL_CostofMitigatingEnvironmentalImpacts_FY2021,ORNL_Mitigation_Database,EHA_Annual_Net_Generation,hydrosource_id,uri,huc12_uri,comid,comid_uri
hc0008_p01,NA,1621,MT00568,MT00568,CANYON FERRY,-111.7281,46.6486,MT,1.00E+11,Reclamation Great Plains Region (GP),Reclamation,HY,49.8,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,11,https://geoconnex.us/ornl/hydrosource/dams11,https://geoconnex.us/nhdplusv2/huc12/1.00E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0009_p01,NA,2234,WA01378,WA01378,PROSSER DIVERSION,-119.7729,46.2126,WA,1.70E+11,Reclamation Pacific Northwest Region (PN),Reclamation,HY,12,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,12,https://geoconnex.us/ornl/hydrosource/dams12,https://geoconnex.us/nhdplusv2/huc12/1.70E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0010_p01,NA,1886,CO00387,CO00387,CRYSTAL,-107.6239891,38.51041701,CO,1.40E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,28,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,13,https://geoconnex.us/ornl/hydrosource/dams13,https://geoconnex.us/nhdplusv2/huc12/1.40E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0011_p01,NA,1939,AZ10309,AZ10309,DAVIS,-114.57,35.1959,AZ,1.50E+11,Reclamation Lower Colorado Region (LC),Reclamation,HY,254.8,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,14,https://geoconnex.us/ornl/hydrosource/dams14,https://geoconnex.us/nhdplusv2/huc12/1.50E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0012_p01,NA,2007,UT10117,UT10117,DEER CREEK,-111.5278,40.4072,UT,1.60E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,4.8,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,15,https://geoconnex.us/ornl/hydrosource/dams15,https://geoconnex.us/nhdplusv2/huc12/1.60E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0013_p01,NA,1828,NM00129,NM00129,ELEPHANT BUTTE,-107.1919,33.1541,NM,1.30E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,27.9,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,16,https://geoconnex.us/ornl/hydrosource/dams16,https://geoconnex.us/nhdplusv2/huc12/1.30E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0014_p01,NA,1913,UT10121,UT10121,FLAMING GORGE,-109.4219,40.9149,UT,1.40E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,151.8,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,17,https://geoconnex.us/ornl/hydrosource/dams17,https://geoconnex.us/nhdplusv2/huc12/1.40E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0014_p01,NA,1914,UT10121,UT10121,FLAMING GORGE,-109.4219,40.9149,UT,1.40E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,151.8,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,18,https://geoconnex.us/ornl/hydrosource/dams18,https://geoconnex.us/nhdplusv2/huc12/1.40E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0014_p01,NA,1915,UT10121,UT10121,FLAMING GORGE,-109.4219,40.9149,UT,1.40E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,151.8,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,19,https://geoconnex.us/ornl/hydrosource/dams19,https://geoconnex.us/nhdplusv2/huc12/1.40E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0015_p01,NA,1716,CO01663,CO01663,RATTLESNAKE,-105.2869,40.3679,CO,1.02E+11,Reclamation Great Plains Region (GP),Reclamation,HY/PS,86,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-gross-generation-plant-database-2003-2019,NA,NA,NA,NA,NA,20,https://geoconnex.us/ornl/hydrosource/dams20,https://geoconnex.us/nhdplusv2/huc12/1.02E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0016_p01,NA,2693,CA10148,CA10148,FOLSOM,-121.156872,38.70781,CA,1.80E+11,Reclamation Mid Pacific Region (MP),Reclamation,HY,198.6,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,21,https://geoconnex.us/ornl/hydrosource/dams21,https://geoconnex.us/nhdplusv2/huc12/1.80E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0017_p01,NA,1916,WY01389,WY01389,FONTENELLE,-110.065625,42.028371,WY,1.40E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,10,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,22,https://geoconnex.us/ornl/hydrosource/dams22,https://geoconnex.us/nhdplusv2/huc12/1.40E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0017_p01,NA,1918,WY01389,WY01389,FONTENELLE,-110.065625,42.028371,WY,1.40E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,10,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,23,https://geoconnex.us/ornl/hydrosource/dams23,https://geoconnex.us/nhdplusv2/huc12/1.40E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0017_p01,NA,1917,WY01389,WY01389,FONTENELLE,-110.065625,42.028371,WY,1.40E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,10,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,24,https://geoconnex.us/ornl/hydrosource/dams24,https://geoconnex.us/nhdplusv2/huc12/1.40E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0018_p01,NA,1740,WY01296,WY01296,PATHFINDER,-106.853706,42.46391,WY,1.02E+11,Reclamation Great Plains Region (GP),Reclamation,HY,66.8,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,25,https://geoconnex.us/ornl/hydrosource/dams25,https://geoconnex.us/nhdplusv2/huc12/1.02E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0019_p01,NA,1907,AZ10307,AZ10307,GLEN CANYON,-111.4842,36.9379,AZ,1.41E+11,Reclamation Upper Colorado Region (UC),Reclamation,HY,1312,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,26,https://geoconnex.us/ornl/hydrosource/dams26,https://geoconnex.us/nhdplusv2/huc12/1.41E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0020_p01,NA,1739,WY01291,WY01291,GLENDO,-104.9509,42.4771,WY,1.02E+11,Reclamation Great Plains Region (GP),Reclamation,HY,38,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,27,https://geoconnex.us/ornl/hydrosource/dams27,https://geoconnex.us/nhdplusv2/huc12/1.02E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0021_p01,NA,2279,WA00262,WA00262,GRAND COULEE,-118.9805,47.9566,WA,1.70E+11,Reclamation Pacific Northwest Region (PN),Reclamation,HY/PS,6495,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-gross-generation-plant-database-2003-2019,NA,NA,NA,NA,NA,28,https://geoconnex.us/ornl/hydrosource/dams28,https://geoconnex.us/nhdplusv2/huc12/1.70E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0022_p01,NA,1848,CO01658,CO01658,GREEN MOUNTAIN,-106.3301,39.8777,CO,1.40E+11,Reclamation Great Plains Region (GP),Reclamation,HY,26,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,29,https://geoconnex.us/ornl/hydrosource/dams29,https://geoconnex.us/nhdplusv2/huc12/1.40E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0023_p01,NA,2835,OR00031,OR00031,KEENE CREEK DIVERSION,-122.4779968,42.12928009,OR,1.80E+11,Reclamation Pacific Northwest Region (PN),Reclamation,HY,17.2,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,30,https://geoconnex.us/ornl/hydrosource/dams30,https://geoconnex.us/nhdplusv2/huc12/1.80E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0024_p01,NA,1741,WY01293,WY01293,GUERNSEY,-104.766214,42.289933,WY,1.02E+11,Reclamation Great Plains Region (GP),Reclamation,HY,6.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,31,https://geoconnex.us/ornl/hydrosource/dams31,https://geoconnex.us/nhdplusv2/huc12/1.02E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0025_p01,NA,1941,NV10122,NV10122,HOOVER,-114.7374,36.0163,NV,1.50E+11,Reclamation Lower Colorado Region (LC),Reclamation,HY,1039.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,32,https://geoconnex.us/ornl/hydrosource/dams32,https://geoconnex.us/nhdplusv2/huc12/1.50E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
hc0025_p02,NA,1940,NV10122,NV10122,HOOVER,-114.7374,36.0163,NV,1.50E+11,Reclamation Lower Colorado Region (LC),Reclamation,HY,1039.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-plant-database-2005-2019,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-capacity-factor-plant-database-2005-2019,NA,NA,NA,NA,NA,https://hydrosource.ornl.gov/dataset/existing-hydropower-assets-eha-net-generation-plant-database-2003-2019,33,https://geoconnex.us/ornl/hydrosource/dams33,https://geoconnex.us/nhdplusv2/huc12/1.50E+11,NA,https://geoconnex.us/nhdplusv2/comid/NA
